Date,Price,Open,High,Low,Vol.,Change %
03-Nov-21,"15,811.60","15,658.50","15,821.60","15,616.40",1.00B,1.04%
02-Nov-21,"15,649.60","15,584.00","15,656.60","15,569.30",997.88M,0.34%
01-Nov-21,"15,595.90","15,541.30","15,598.90","15,470.80",1.00B,0.63%
29-Oct-21,"15,498.40","15,323.30","15,504.10","15,323.30",1.06B,0.33%
28-Oct-21,"15,448.10","15,304.70","15,452.30","15,290.30",1.06B,1.39%
27-Oct-21,"15,235.80","15,276.00","15,364.50","15,235.80",1.09B,0.00%
26-Oct-21,"15,235.70","15,317.50","15,384.00","15,198.20",1.22B,0.06%
25-Oct-21,"15,226.70","15,142.90","15,259.60","15,070.80",1.09B,0.90%
22-Oct-21,"15,090.20","15,158.10","15,193.00","15,021.00",1.10B,-0.82%
21-Oct-21,"15,215.70","15,104.80","15,222.30","15,094.10",891.24M,0.62%
20-Oct-21,"15,121.70","15,160.00","15,178.40","15,071.20",743.43M,-0.05%
19-Oct-21,"15,129.10","15,073.10","15,137.90","15,049.70",788.58M,0.71%
18-Oct-21,"15,021.80","14,839.70","15,026.70","14,833.30",798.37M,0.84%
15-Oct-21,"14,897.30","14,891.20","14,905.00","14,848.00",924.17M,0.50%
14-Oct-21,"14,823.40","14,717.50","14,827.60","14,699.50",815.46M,1.73%
13-Oct-21,"14,571.60","14,537.20","14,589.30","14,471.90",760.21M,0.73%
12-Oct-21,"14,465.90","14,539.10","14,552.70","14,441.60",768.40M,-0.14%
11-Oct-21,"14,486.20","14,540.10","14,666.00","14,482.60",664.49M,-0.64%
08-Oct-21,"14,579.50","14,694.70","14,699.90","14,569.70",670.94M,-0.51%
07-Oct-21,"14,654.00","14,631.80","14,755.70","14,615.10",798.16M,1.05%
06-Oct-21,"14,501.90","14,289.40","14,509.50","14,259.10",817.53M,0.47%
05-Oct-21,"14,433.80","14,312.90","14,508.60","14,299.80",805.23M,1.25%
04-Oct-21,"14,255.50","14,493.10","14,499.70","14,181.70",920.43M,-2.14%
01-Oct-21,"14,566.70","14,494.90","14,606.80","14,324.00",913.08M,0.82%
30-Sep-21,"14,448.60","14,582.60","14,632.40","14,444.30",1.14B,-0.44%
29-Sep-21,"14,512.40","14,614.90","14,676.60","14,493.70",980.97M,-0.24%
28-Sep-21,"14,546.70","14,787.20","14,817.70","14,539.90",996.26M,-2.83%
27-Sep-21,"14,970.00","14,954.20","15,003.20","14,865.00",894.61M,-0.52%
24-Sep-21,"15,047.70","14,961.60","15,067.60","14,946.60",773.44M,-0.03%
23-Sep-21,"15,052.20","14,960.00","15,085.40","14,932.50",788.23M,1.04%
22-Sep-21,"14,896.80","14,800.60","14,950.10","14,767.00",831.12M,1.02%
21-Sep-21,"14,746.40","14,803.40","14,847.00","14,696.50",873.64M,0.22%
20-Sep-21,"14,713.90","14,758.10","14,841.80","14,530.10",1.10B,-2.19%
17-Sep-21,"15,044.00","15,163.40","15,166.60","14,998.70",2.75B,-0.91%
16-Sep-21,"15,181.90","15,120.10","15,205.50","15,047.10",833.07M,0.13%
15-Sep-21,"15,161.50","15,071.30","15,174.40","14,984.70",987.75M,0.82%
14-Sep-21,"15,037.80","15,168.40","15,181.20","15,008.30",884.51M,-0.45%
13-Sep-21,"15,105.60","15,211.40","15,215.40","15,030.90",943.77M,-0.07%
10-Sep-21,"15,115.50","15,332.90","15,349.50","15,111.30",889.08M,-0.87%
09-Sep-21,"15,248.30","15,296.10","15,352.40","15,245.20",793.92M,-0.25%
08-Sep-21,"15,286.60","15,360.30","15,360.30","15,206.60",799.13M,-0.57%
07-Sep-21,"15,374.30","15,376.00","15,403.40","15,343.30",813.76M,0.07%
03-Sep-21,"15,363.50","15,313.40","15,375.60","15,283.70",713.30M,0.21%
02-Sep-21,"15,331.20","15,358.50","15,380.10","15,285.30",771.82M,0.14%
01-Sep-21,"15,309.40","15,309.00","15,379.50","15,302.10",836.30M,0.33%
31-Aug-21,"15,259.20","15,262.90","15,279.00","15,202.70",981.94M,-0.04%
30-Aug-21,"15,265.90","15,165.90","15,288.10","15,165.10",807.58M,0.90%
27-Aug-21,"15,129.50","14,969.80","15,144.50","14,966.50",857.20M,1.23%
26-Aug-21,"14,945.80","15,025.20","15,059.60","14,939.60",698.67M,-0.64%
25-Aug-21,"15,041.90","15,039.00","15,059.40","15,011.60",760.11M,0.15%
24-Aug-21,"15,019.80","14,978.10","15,034.90","14,965.50",737.23M,0.52%
23-Aug-21,"14,942.70","14,777.00","14,963.50","14,777.00",782.67M,1.55%
20-Aug-21,"14,714.70","14,571.50","14,722.20","14,571.50",828.73M,1.19%
19-Aug-21,"14,541.80","14,423.20","14,610.80","14,423.20",841.84M,0.11%
18-Aug-21,"14,525.90","14,636.20","14,697.30","14,516.30",764.92M,-0.89%
17-Aug-21,"14,656.20","14,670.60","14,716.90","14,550.90",797.61M,-0.93%
16-Aug-21,"14,793.80","14,771.50","14,794.70","14,610.00",774.04M,-0.20%
13-Aug-21,"14,822.90","14,825.10","14,850.60","14,797.20",774.68M,0.04%
12-Aug-21,"14,816.30","14,751.40","14,824.30","14,698.90",783.88M,0.35%
11-Aug-21,"14,765.10","14,834.40","14,842.50","14,692.40",787.41M,-0.16%
10-Aug-21,"14,788.10","14,887.70","14,894.60","14,754.50",781.07M,-0.49%
09-Aug-21,"14,860.20","14,855.80","14,883.80","14,802.70",801.12M,0.16%
06-Aug-21,"14,835.80","14,864.20","14,890.20","14,788.60",817.60M,-0.40%
05-Aug-21,"14,895.10","14,794.10","14,896.50","14,776.00",842.72M,0.78%
04-Aug-21,"14,780.50","14,747.20","14,812.40","14,734.10",875.56M,0.13%
03-Aug-21,"14,761.30","14,714.00","14,762.60","14,584.10",831.95M,0.55%
02-Aug-21,"14,681.10","14,758.60","14,770.40","14,665.70",752.76M,0.06%
30-Jul-21,"14,672.70","14,615.90","14,728.80","14,615.90",788.21M,-0.71%
29-Jul-21,"14,778.30","14,771.20","14,833.70","14,761.40",760.01M,0.11%
28-Jul-21,"14,762.60","14,715.70","14,798.90","14,645.60",839.14M,0.70%
27-Jul-21,"14,660.60","14,807.90","14,811.10","14,503.80",885.24M,-1.21%
26-Jul-21,"14,840.70","14,821.00","14,863.60","14,790.50",850.81M,0.03%
23-Jul-21,"14,837.00","14,753.10","14,846.10","14,698.80",758.41M,1.04%
22-Jul-21,"14,684.60","14,652.70","14,694.20","14,617.90",712.06M,0.36%
21-Jul-21,"14,632.00","14,508.70","14,633.10","14,498.70",801.83M,0.92%
20-Jul-21,"14,498.90","14,330.50","14,555.70","14,271.20",1.03B,1.57%
19-Jul-21,"14,275.00","14,236.00","14,313.60","14,178.70",916.44M,-1.06%
16-Jul-21,"14,427.20","14,597.50","14,623.00","14,413.30",811.42M,-0.80%
15-Jul-21,"14,543.10","14,635.80","14,650.40","14,451.80",832.92M,-0.70%
14-Jul-21,"14,645.00","14,780.90","14,790.50","14,632.90",862.70M,-0.22%
13-Jul-21,"14,677.70","14,715.10","14,803.70","14,660.20",805.39M,-0.38%
12-Jul-21,"14,733.20","14,743.90","14,761.10","14,672.60",753.86M,0.21%
09-Jul-21,"14,701.90","14,578.40","14,710.20","14,552.30",756.93M,0.98%
08-Jul-21,"14,559.80","14,409.20","14,610.10","14,371.60",920.12M,-0.72%
07-Jul-21,"14,665.10","14,753.40","14,755.30","14,580.80",889.86M,0.01%
06-Jul-21,"14,663.60","14,661.50","14,687.00","14,529.80",909.25M,0.17%
02-Jul-21,"14,639.30","14,583.00","14,649.10","14,555.30",724.36M,0.81%
01-Jul-21,"14,522.40","14,493.70","14,533.50","14,439.40",843.43M,0.13%
30-Jun-21,"14,504.00","14,509.90","14,526.80","14,478.10",1.08B,-0.17%
29-Jun-21,"14,528.30","14,509.20","14,536.00","14,471.40",908.40M,0.19%
28-Jun-21,"14,500.50","14,417.80","14,505.20","14,417.20",898.05M,0.98%
25-Jun-21,"14,360.40","14,400.80","14,409.10","14,337.70",3.12B,-0.06%
24-Jun-21,"14,369.70","14,357.30","14,414.50","14,333.70",807.03M,0.69%
23-Jun-21,"14,271.70","14,263.40","14,317.70","14,246.30",852.78M,0.13%
22-Jun-21,"14,253.30","14,138.30","14,269.80","14,121.00",891.23M,0.79%
21-Jun-21,"14,141.50","14,047.40","14,150.80","13,960.00",969.70M,0.79%
18-Jun-21,"14,030.40","14,096.90","14,129.20","14,009.00",2.14B,-0.92%
17-Jun-21,"14,161.30","13,999.10","14,196.20","13,998.90",990.64M,0.87%
16-Jun-21,"14,039.70","14,085.60","14,129.70","13,903.70",981.27M,-0.24%
15-Jun-21,"14,072.90","14,166.60","14,171.00","14,052.20",880.03M,-0.71%
14-Jun-21,"14,174.10","14,083.50","14,175.50","14,056.70",895.43M,0.74%
11-Jun-21,"14,069.40","14,030.90","14,069.40","14,006.60",824.12M,0.35%
10-Jun-21,"14,020.30","13,933.90","14,031.20","13,904.40",929.35M,0.78%
09-Jun-21,"13,911.80","13,980.20","14,003.50","13,906.50",1.09B,-0.09%
08-Jun-21,"13,924.90","13,946.30","13,981.70","13,832.00",1.17B,0.31%
07-Jun-21,"13,881.70","13,802.80","13,889.10","13,784.90",916.97M,0.49%
04-Jun-21,"13,814.50","13,697.20","13,826.80","13,692.00",806.24M,1.47%
03-Jun-21,"13,614.50","13,655.70","13,684.10","13,548.90",1.02B,-1.03%
02-Jun-21,"13,756.30","13,743.20","13,775.90","13,689.70",996.75M,0.14%
01-Jun-21,"13,736.50","13,829.10","13,836.20","13,678.80",884.81M,-0.09%
28-May-21,"13,748.70","13,792.00","13,820.90","13,747.60",911.24M,0.09%
27-May-21,"13,736.30","13,742.60","13,776.50","13,701.60",1.41B,-0.01%
26-May-21,"13,738.00","13,693.90","13,750.20","13,679.60",819.71M,0.59%
25-May-21,"13,657.20","13,721.50","13,751.10","13,631.80",823.66M,-0.03%
24-May-21,"13,661.20","13,557.20","13,708.80","13,551.00",730.82M,1.41%
21-May-21,"13,471.00","13,616.20","13,616.60","13,463.30",786.55M,-0.48%
20-May-21,"13,535.70","13,356.60","13,563.50","13,355.70",810.41M,1.77%
19-May-21,"13,299.70","13,078.20","13,304.60","13,072.20",879.28M,-0.03%
18-May-21,"13,303.60","13,416.90","13,485.30","13,299.90",852.73M,-0.56%
17-May-21,"13,379.00","13,368.80","13,399.20","13,265.40",799.86M,-0.38%
14-May-21,"13,430.00","13,255.60","13,460.90","13,243.00",854.90M,2.32%
13-May-21,"13,125.00","13,150.90","13,247.90","13,007.20",986.84M,0.72%
12-May-21,"13,031.70","13,215.50","13,288.60","13,002.50",985.26M,-2.67%
11-May-21,"13,389.40","13,115.90","13,423.30","13,107.70",983.05M,-0.09%
10-May-21,"13,401.90","13,687.60","13,687.90","13,401.70",1.02B,-2.55%
07-May-21,"13,752.20","13,723.10","13,828.60","13,690.70",873.19M,0.88%
06-May-21,"13,632.80","13,557.80","13,635.70","13,439.40",1.04B,0.37%
05-May-21,"13,582.40","13,731.10","13,753.00","13,553.90",909.08M,-0.37%
04-May-21,"13,633.50","13,774.50","13,795.60","13,485.60",1.09B,-1.88%
03-May-21,"13,895.10","14,031.80","14,042.10","13,881.50",919.69M,-0.48%
30-Apr-21,"13,962.70","13,970.70","14,084.80","13,941.60",1.02B,-0.85%
29-Apr-21,"14,082.50","14,204.50","14,211.60","13,952.80",994.15M,0.22%
28-Apr-21,"14,051.00","14,082.80","14,133.70","14,034.70",861.23M,-0.28%
27-Apr-21,"14,090.20","14,170.90","14,171.20","14,064.30",871.20M,-0.34%
26-Apr-21,"14,138.80","14,052.40","14,154.00","14,019.50",867.75M,0.87%
23-Apr-21,"14,016.80","13,861.40","14,062.70","13,856.80",843.30M,1.44%
22-Apr-21,"13,818.40","13,952.60","14,015.90","13,771.00",871.28M,-0.94%
21-Apr-21,"13,950.20","13,745.80","13,951.30","13,706.90",819.76M,1.19%
20-Apr-21,"13,786.30","13,894.50","13,927.70","13,698.70",875.27M,-0.92%
19-Apr-21,"13,914.80","13,984.60","14,041.80","13,842.60",907.06M,-0.98%
16-Apr-21,"14,052.30","14,059.10","14,062.50","13,977.00",962.78M,0.10%
15-Apr-21,"14,038.80","13,983.20","14,049.10","13,970.40",867.56M,1.31%
14-Apr-21,"13,857.80","14,004.10","14,033.60","13,839.00",812.85M,-0.99%
13-Apr-21,"13,996.10","13,902.40","14,011.50","13,902.40",839.45M,1.05%
12-Apr-21,"13,850.00","13,854.40","13,877.00","13,783.90",894.01M,-0.36%
09-Apr-21,"13,900.20","13,787.00","13,905.40","13,748.30",785.76M,0.51%
08-Apr-21,"13,829.30","13,796.90","13,830.10","13,758.70",870.92M,1.03%
07-Apr-21,"13,688.80","13,675.30","13,733.00","13,653.60",819.48M,-0.07%
06-Apr-21,"13,698.40","13,681.70","13,776.70","13,674.30",870.63M,-0.05%
05-Apr-21,"13,705.60","13,594.90","13,720.60","13,582.80",916.61M,1.67%
