Date,Price,Open,High,Low,Vol.,Change %
04-Nov-21,"25,225.19","25,141.10","25,244.98","25,010.36",1.64B,0.80%
03-Nov-21,"25,024.75","25,060.93","25,187.09","24,808.59",1.69B,-0.30%
02-Nov-21,"25,099.67","25,609.01","25,639.66","25,030.69",1.96B,-0.22%
01-Nov-21,"25,154.32","25,268.35","25,270.41","24,972.50",1.59B,-0.88%
29-Oct-21,"25,377.24","25,466.86","25,516.22","25,314.24",2.05B,-0.70%
28-Oct-21,"25,555.73","25,648.42","25,736.38","25,473.16",2.02B,-0.28%
27-Oct-21,"25,628.74","25,795.17","25,795.17","25,555.17",1.62B,-1.57%
26-Oct-21,"26,038.27","26,234.94","26,234.94","25,905.08",1.53B,-0.36%
25-Oct-21,"26,132.03","26,020.78","26,212.90","25,929.67",1.46B,0.02%
22-Oct-21,"26,126.93","26,114.84","26,195.29","25,976.03",1.70B,0.42%
21-Oct-21,"26,017.53","26,141.85","26,229.80","25,840.59",2.09B,-0.45%
20-Oct-21,"26,136.02","26,074.20","26,214.63","25,915.62",1.82B,1.35%
19-Oct-21,"25,787.21","25,471.25","25,808.62","25,458.03",1.67B,1.49%
18-Oct-21,"25,409.75","25,425.32","25,425.32","25,123.25",1.65B,0.31%
15-Oct-21,"25,330.96","25,187.05","25,330.96","24,929.56",2.35B,1.24%
13-Oct-21,"25,020.34","24,837.76","25,035.00","24,836.76",-,0.23%
12-Oct-21,"24,962.59","24,995.95","25,188.78","24,865.80",1.84B,-1.43%
11-Oct-21,"25,325.09","25,161.80","25,437.16","25,161.80",2.11B,1.96%
08-Oct-21,"24,837.85","25,064.80","25,064.80","24,595.58",2.36B,0.55%
07-Oct-21,"24,701.73","24,339.32","24,741.28","24,310.11",1.76B,3.07%
06-Oct-21,"23,966.49","24,259.20","24,259.20","23,812.35",1.88B,-0.57%
05-Oct-21,"24,104.15","23,771.65","24,180.08","23,681.44",1.72B,0.28%
04-Oct-21,"24,036.37","24,478.68","24,478.68","23,908.05",1.60B,-2.19%
30-Sep-21,"24,575.64","24,494.26","24,660.68","24,346.75",1.58B,-0.36%
29-Sep-21,"24,663.50","24,276.71","24,694.46","24,045.99",2.15B,0.67%
28-Sep-21,"24,500.39","24,323.00","24,679.46","24,232.98",2.46B,1.20%
27-Sep-21,"24,208.78","24,131.42","24,509.00","24,131.42",2.32B,0.07%
24-Sep-21,"24,192.16","24,487.24","24,636.64","24,095.79",2.01B,-1.30%
23-Sep-21,"24,510.98","24,614.14","24,827.46","24,313.68",2.71B,1.19%
21-Sep-21,"24,221.54","23,867.16","24,284.87","23,771.46",2.08B,0.51%
20-Sep-21,"24,099.14","24,640.43","24,640.43","23,871.84",2.65B,-3.30%
17-Sep-21,"24,920.76","24,589.17","24,920.76","24,424.74",3.10B,1.03%
16-Sep-21,"24,667.85","25,042.03","25,045.55","24,505.21",2.50B,-1.46%
15-Sep-21,"25,033.21","25,310.03","25,411.91","24,990.94",2.42B,-1.84%
14-Sep-21,"25,502.23","25,827.70","25,900.68","25,377.83",2.40B,-1.21%
13-Sep-21,"25,813.81","25,885.30","25,886.90","25,570.84",2.32B,-1.50%
10-Sep-21,"26,205.91","25,870.71","26,205.91","25,870.71",2.00B,1.91%
09-Sep-21,"25,716.00","26,076.93","26,125.09","25,624.52",2.09B,-2.30%
08-Sep-21,"26,320.93","26,396.11","26,560.04","26,164.79",1.86B,-0.12%
07-Sep-21,"26,353.63","26,207.22","26,458.88","26,135.40",1.84B,0.73%
06-Sep-21,"26,163.63","25,827.17","26,176.43","25,827.17",1.91B,1.01%
03-Sep-21,"25,901.99","26,022.67","26,052.81","25,811.77",2.55B,-0.72%
02-Sep-21,"26,090.43","26,203.52","26,359.31","25,967.98",2.02B,0.24%
01-Sep-21,"26,028.29","25,871.82","26,101.95","25,694.11",2.18B,0.58%
31-Aug-21,"25,878.99","25,524.23","25,878.99","25,110.72",2.92B,1.33%
30-Aug-21,"25,539.54","25,406.49","25,583.59","25,219.80",2.00B,0.52%
27-Aug-21,"25,407.89","25,337.55","25,641.33","25,304.62",1.53B,-0.03%
26-Aug-21,"25,415.69","25,673.78","25,706.62","25,255.83",1.83B,-1.08%
25-Aug-21,"25,693.95","25,930.05","25,982.64","25,548.47",1.72B,-0.13%
24-Aug-21,"25,727.92","25,428.68","25,727.92","25,361.75",2.05B,2.46%
23-Aug-21,"25,109.59","25,169.45","25,458.33","25,036.99",2.18B,1.05%
20-Aug-21,"24,849.72","25,241.32","25,244.75","24,581.60",2.86B,-1.84%
19-Aug-21,"25,316.33","25,787.84","25,832.92","25,183.67",2.31B,-2.13%
18-Aug-21,"25,867.01","25,800.03","26,025.14","25,708.95",1.76B,0.47%
17-Aug-21,"25,745.87","26,137.90","26,258.79","25,615.38",2.29B,-1.66%
16-Aug-21,"26,181.46","26,365.19","26,449.71","26,046.90",1.65B,-0.80%
13-Aug-21,"26,391.62","26,296.19","26,521.95","26,200.24",1.34B,-0.48%
12-Aug-21,"26,517.82","26,623.77","26,713.24","26,385.45",1.66B,-0.53%
11-Aug-21,"26,660.16","26,491.74","26,822.47","26,454.45",2.41B,0.20%
10-Aug-21,"26,605.62","26,456.61","26,610.95","26,138.87",1.74B,1.23%
09-Aug-21,"26,283.40","25,969.23","26,527.24","25,920.85",1.59B,0.40%
06-Aug-21,"26,179.40","26,262.97","26,276.87","26,002.41",1.56B,-0.10%
05-Aug-21,"26,204.69","26,390.01","26,569.37","26,126.37",1.70B,-0.84%
04-Aug-21,"26,426.55","26,161.83","26,650.82","26,009.83",1.78B,0.88%
03-Aug-21,"26,194.82","26,289.06","26,289.06","25,774.62",2.01B,-0.16%
02-Aug-21,"26,235.80","26,054.81","26,300.55","25,743.09",1.77B,1.06%
30-Jul-21,"25,961.03","26,042.84","26,151.00","25,636.89",2.43B,-1.35%
29-Jul-21,"26,315.32","26,221.36","26,335.36","25,857.42",3.27B,3.30%
28-Jul-21,"25,473.88","25,356.74","25,520.75","24,848.43",3.39B,1.54%
27-Jul-21,"25,086.43","26,011.51","26,323.61","24,748.84",4.66B,-4.22%
26-Jul-21,"26,192.32","26,825.73","26,878.75","26,177.40",2.70B,-4.13%
23-Jul-21,"27,321.98","27,740.95","27,740.95","27,222.04",1.18B,-1.45%
22-Jul-21,"27,723.84","27,464.28","27,759.71","27,455.43",1.81B,1.83%
21-Jul-21,"27,224.58","27,339.22","27,371.50","26,971.03",1.67B,-0.13%
20-Jul-21,"27,259.25","27,395.83","27,532.86","27,121.49",2.26B,-0.84%
19-Jul-21,"27,489.78","27,786.54","27,786.54","27,397.29",1.87B,-1.84%
16-Jul-21,"28,004.68","27,972.56","28,218.53","27,878.53",1.97B,0.03%
15-Jul-21,"27,996.27","27,801.40","28,181.21","27,741.09",2.08B,0.75%
14-Jul-21,"27,787.46","27,965.39","27,965.39","27,708.71",1.87B,-0.63%
13-Jul-21,"27,963.41","27,694.03","28,052.32","27,612.69",2.00B,1.63%
12-Jul-21,"27,515.24","27,672.70","27,741.19","27,420.35",2.05B,0.62%
09-Jul-21,"27,344.54","27,131.57","27,450.79","26,861.87",2.50B,0.70%
08-Jul-21,"27,153.13","27,881.50","27,921.06","27,110.62",2.95B,-2.89%
07-Jul-21,"27,960.62","27,777.81","27,969.41","27,703.41",2.04B,-0.40%
06-Jul-21,"28,072.86","28,136.63","28,151.35","27,904.53",1.90B,-0.25%
05-Jul-21,"28,143.50","28,098.91","28,338.79","28,042.71",1.83B,-0.59%
02-Jul-21,"28,310.42","28,859.02","28,859.02","28,231.73",2.82B,-1.80%
30-Jun-21,"28,827.95","29,107.90","29,146.28","28,827.70",2.05B,-0.57%
29-Jun-21,"28,994.10","29,291.89","29,291.89","28,924.61",2.36B,-0.94%
28-Jun-21,"29,268.30","29,366.49","29,394.69","29,209.43",1.51B,-0.07%
25-Jun-21,"29,288.22","29,002.67","29,305.17","28,971.60",2.15B,1.40%
24-Jun-21,"28,882.46","28,865.46","28,993.37","28,782.34",1.72B,0.23%
23-Jun-21,"28,817.07","28,468.24","28,893.79","28,406.61",2.29B,1.79%
22-Jun-21,"28,309.76","28,575.16","28,579.00","28,299.66",1.98B,-0.63%
